EmployeeID,EmployeeName,Department,Salary
1,Ryan Roberts,IT,72977.33
2,Chad Arroyo,Sales,35210.6
3,Shane Oconnell,HR,74399.35
4,Stephanie Young,Finance,103306.95
5,Yvonne Soto,IT,103276.61
6,Kylie Garcia,HR,50208.57
7,Anthony Norris,Finance,64133.92
8,Amanda Fox,Finance,47716.94
9,Randy Sullivan,HR,100884.29
10,Douglas Bradley,Sales,118973.45
11,Ricky Parker,Sales,38434.98
12,Erika Chapman,HR,57079.57
13,Colleen Todd,IT,51121.14
14,David Holmes,Sales,34678.26
15,Matthew Hernandez,Sales,68766.94
16,Crystal Burton,HR,94568.27
17,Christopher Garcia,Sales,72234.02
18,Amber Shelton,Sales,69958.76
19,Peter Grimes,HR,104346.62
20,Robert Peterson,Sales,106751.11
21,Michael Reed,IT,71146.1
22,Elizabeth Carr,Sales,30370.7
23,Nicole Parks,Sales,56164.22
24,Sarah Carpenter,IT,51732.8
25,James Reyes,Finance,84955.64
26,Alexandria Rivera,Finance,72848.74
27,Anna Vasquez,HR,36488.01
28,Christopher Cooper MD,HR,55784.67
29,Eric Castro,Finance,59750.67
30,Barbara Carter,IT,64862.4
31,Allison Tyler,Finance,38322.1
32,Michelle Meyer,IT,37485.06
33,Bridget Vasquez,Sales,95510.86
34,Savannah Marshall,Finance,31752.87
35,Madeline Garcia,Finance,51755.69
36,Amanda Wang,IT,87187.67
37,April Russell,IT,99769.3
38,Jesse Gibbs,Finance,40648.28
39,Martha Perez,HR,40368.85
40,Maria Stein,Finance,44827.53
41,Julie James,HR,56769.78
42,Adam Adams,HR,54164.88
43,Christine Allen,Sales,118688.75
44,David Gardner,Finance,33630.05
45,Judy Burgess,Finance,114005.68
46,Erika Reed,IT,33103.33
47,Kevin Cowan,HR,37321.12
48,Claudia Williams,Finance,78300.67
49,Cheryl Thomas,Sales,39369.72
50,Katherine Mills,Sales,40549.98
