SupplierID,SupplierName,ContactEmail,Phone
1,Supplier_1,floresjessica@example.com,350.797.0308x94164
2,Supplier_2,mahoneydavid@example.net,922.896.4026x3229
3,Supplier_3,schmittmatthew@example.org,001-794-630-8485x66002
4,Supplier_4,jason43@example.com,001-596-803-6195x7666
5,Supplier_5,xdouglas@example.com,638-546-9397x159
6,Supplier_6,jonbeasley@example.net,+1-513-273-9178
7,Supplier_7,peter48@example.net,001-882-238-6051x83664
8,Supplier_8,karaalvarez@example.com,6326778546
9,Supplier_9,yperez@example.net,+1-498-331-4255x817
10,Supplier_10,ccombs@example.org,351-901-0814
